Company name,Share holder name,Share holder category,Jun/2025 No of shares,Sep/2025 No of shares,Dec/2025 No of shares,Mar/2026 No of shares,Jun/2026 No of shares,Basis,Confidence,Country,Entity type,Holding vehicle,Review?,Source
RELIANCE INDUSTRIES LTD,Svar Enterprises LLP,Promoter,,,,,27178734,filing (token+numeric),high,IN,,,,"SEBI LODR Reg 31 shareholding pattern (Table II - Promoter & Promoter Group), as at 2026-06-30"
RELIANCE INDUSTRIES LTD,Franklin Templeton Mutual Fund,Domestic AMC,21528688,20465542,20332649,22458939,23123405,rule:amc+india,high,IN,asset_manager,managed_funds,,matched by deterministic name rule
RELIANCE INDUSTRIES LTD,Tata Mutual Fund,Domestic AMC,21661581,22326046,20598436,19136611,22591833,rule:amc+india,high,IN,asset_manager,managed_funds,,matched by deterministic name rule
RELIANCE INDUSTRIES LTD,Bandhan Mutual Fund,Domestic AMC,21262901,20731329,20199756,20465542,22193153,rule:amc+india,high,IN,asset_manager,managed_funds,,matched by deterministic name rule
RELIANCE INDUSTRIES LTD,Canara Robeco Mutual Fund,Domestic AMC,17940573,18605039,18870825,18073466,18737932,rule:amc+india,high,IN,asset_manager,managed_funds,,matched by deterministic name rule
RELIANCE INDUSTRIES LTD,DSP Mutual Fund,Domestic AMC,5714405,5980191,6113084,5847298,16611642,rule:amc+india,high,IN,asset_manager,managed_funds,,matched by deterministic name rule
RELIANCE INDUSTRIES LTD,Akash M Ambani,Promoter,,,,,16104042,filing (token+numeric),high,IN,,,,"SEBI LODR Reg 31 shareholding pattern (Table II - Promoter & Promoter Group), as at 2026-06-30"
RELIANCE INDUSTRIES LTD,Anant M Ambani,Promoter,,,,,16104042,filing (token+numeric),high,IN,,,,"SEBI LODR Reg 31 shareholding pattern (Table II - Promoter & Promoter Group), as at 2026-06-30"
RELIANCE INDUSTRIES LTD,Isha M Ambani,Promoter,,,,,16104042,filing (token+numeric),high,IN,,,,"SEBI LODR Reg 31 shareholding pattern (Table II - Promoter & Promoter Group), as at 2026-06-30"
RELIANCE INDUSTRIES LTD,Nita M Ambani,Promoter,,,,,16104042,filing (token+numeric),high,IN,,,,"SEBI LODR Reg 31 shareholding pattern (Table II - Promoter & Promoter Group), as at 2026-06-30"
RELIANCE INDUSTRIES LTD,Mukesh D Ambani,Promoter,,,,,16104040,filing (token+numeric),high,IN,,,,"SEBI LODR Reg 31 shareholding pattern (Table II - Promoter & Promoter Group), as at 2026-06-30"
RELIANCE INDUSTRIES LTD,Invesco Mutual Fund,Domestic AMC,3322328,9302519,7973588,6777550,14352458,rule:amc+india,high,IN,asset_manager,managed_funds,,matched by deterministic name rule
RELIANCE INDUSTRIES LTD,Edelweiss Mutual Fund,Domestic AMC,11960382,13289313,11960382,10099878,11163023,rule:amc+india,high,IN,asset_manager,managed_funds,,matched by deterministic name rule
RELIANCE INDUSTRIES LTD,Reliance Welfare Association,Promoter,,,,,10689994,filing (token+numeric),high,IN,,,,"SEBI LODR Reg 31 shareholding pattern (Table II - Promoter & Promoter Group), as at 2026-06-30"
RELIANCE INDUSTRIES LTD,HSBC Mutual Fund,Domestic AMC,9435412,10232771,10365664,15149817,10631451,rule:amc+india,high,IN,asset_manager,managed_funds,,matched by deterministic name rule
RELIANCE INDUSTRIES LTD,Sundaram Mutual Fund,Domestic AMC,12491955,12491955,12226168,11960382,10631451,rule:amc+india,high,IN,asset_manager,managed_funds,,matched by deterministic name rule
